detector_id,location_name,detector_direction,created_date,modified_date,location_latitude,location_longitude,detector_type,detector_status,detector_movement,signal_id,atd_location_id
696,CONGRESS AVE / SHERATON AVE,Eastbound,,2023-09-27T14:43:00Z,30.215157,-97.768776,Loop,Removed,LEFT TURN,408,LOC16-002000
5781,RIVERSIDE DR / CROSSING PL,Northbound,2017-09-11T00:00:00Z,2024-06-03T21:56:00Z,30.231636,-97.717461,Video,Removed,"THRU / RIGHT TURN, LEFT TURN",619,LOC16-003065
5038,ANDERSON MILL RD / TWIN CREEKS CLUB DR,Northbound,2017-06-15T00:00:00Z,2022-05-23T16:34:00Z,30.469261,-97.845169,Loop,Removed,LEFT TURN,567,LOC16-002780
2738,BRODIE LN / HOME DEPOT BLVD,Eastbound,2017-06-23T00:00:00Z,2023-12-29T13:26:00Z,30.22588,-97.822746,Loop,Ok,THRU / RIGHT TURN,795,LOC16-003910
5796,CONGRESS AVE / EBERHART LN,Northbound,2017-09-11T00:00:00Z,2024-06-28T17:31:00Z,30.197027,-97.777123,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",410,LOC16-002010
3806,RIVERSIDE DR / TRAVIS HEIGHTS BLVD,Westbound,2017-06-16T00:00:00Z,2023-11-02T19:31:00Z,30.249842,-97.73877,Loop,Ok,LEFT TURN,379,LOC16-001860
4473,DESSAU RD / BRAKER LN (Shropshire),Southbound,2017-06-16T00:00:00Z,2024-09-11T20:15:00Z,30.377291,-97.658661,Video,Ok,"SETBACK, THRU / RIGHT TURN",260,LOC16-001265
854,METRIC BLVD / CEDAR BEND DR,Northbound,,2025-08-05T11:43:00Z,30.408274,-97.696983,Video,Ok,THRU / LEFT TURN,436,LOC16-002140
5942,BRAKER LN / 35 SVRD,Westbound,2017-09-11T00:00:00Z,2024-11-07T13:50:00Z,30.376949,-97.675583,Video,Broken,THRU / RIGHT TURN,467,LOC16-002290
727,WILLIAM CANNON DR / 1ST ST,Southbound,,2025-10-27T18:44:00Z,30.197098,-97.787819,Loop,Ok,LEFT TURN,404,LOC16-001980
3706,WILLIAM CANNON DR / BRUSH COUNTRY RD,Northbound,2017-06-16T00:00:00Z,2025-10-27T19:13:00Z,30.223387,-97.841698,Loop,Ok,THRU / RIGHT TURN,434,LOC16-002130
3029,COLORADO ST / 3RD ST,Eastbound,2017-06-23T00:00:00Z,2021-06-24T12:45:00Z,30.265602,-97.745155,Loop,Removed,LEFT TURN,742,LOC16-003660
4192,CAMERON RD / NORTHRIDGE DR,Northbound,2017-06-16T00:00:00Z,2024-06-17T16:34:00Z,30.315813,-97.701538,Loop,Removed,LEFT TURN,613,LOC16-003035
3808,BRODIE LN / ACCOMAC DR,Southbound,2017-06-16T00:00:00Z,2023-11-13T22:50:00Z,30.161558,-97.860077,Loop,Ok,THRU / LEFT TURN,375,LOC16-001840
3561,CAMERON RD / 290 HWY SVRD,Southbound,2017-06-19T00:00:00Z,2025-03-04T23:36:00Z,30.320782,-97.695862,Video,Ok,LEFT TURN,655,LOC16-003215
3914,7TH ST / PROSPECT AVE,Southbound,2017-06-16T00:00:00Z,2024-06-17T14:33:00Z,30.261475,-97.717461,Loop,Ok,"BICYCLE, THRU / LEFT TURN",353,LOC16-001730
5750,LAMAR BLVD / 24TH ST,Northbound,2017-09-11T00:00:00Z,2023-12-22T14:58:00Z,30.288534,-97.75277,Video,Ok,"LEFT TURN, THRU / RIGHT TURN, THRU ONLY",108,LOC16-000535
2857,MANOR RD / 35 SVRD,Westbound,2017-06-23T00:00:00Z,2020-12-25T15:02:00Z,30.283091,-97.727478,Loop,Removed,LEFT TURN,773,LOC16-003805
2655,GREAT HILLS TRL / RESEARCH BLVD SVRD,Eastbound,2017-06-23T00:00:00Z,2024-05-30T15:25:00Z,30.39415,-97.746918,Video,Broken,LEFT TURN,811,LOC16-003990
2648,AVERY RANCH BLVD / MORGAN CREEK DR,Southbound,2017-06-23T00:00:00Z,2022-06-20T19:07:00Z,30.498346,-97.767067,Loop,Removed,THRU / RIGHT TURN,812,LOC16-003995
3831,7TH ST / SPRINGDALE RD,Northbound,2017-06-16T00:00:00Z,2023-12-10T20:01:00Z,30.256037,-97.701675,Loop,Ok,THRU / LEFT TURN,367,LOC16-001800
476,BURNET RD / KRAMER LN,Eastbound,,2024-12-19T20:03:00Z,30.395203,-97.720398,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",464,LOC16-002275
4639,ST JOHNS AVE / 35 SVRD,Eastbound,2017-06-16T00:00:00Z,2020-06-23T20:37:00Z,30.332954,-97.704529,Loop,Removed,LEFT TURN,594,LOC16-002915
5849,ANDERSON LN SVRD / NORTHCREST BLVD,Northbound,2017-09-11T00:00:00Z,2022-03-28T19:03:00Z,30.344025,-97.705071,Video,Removed,"THRU / RIGHT TURN, LEFT TURN",715,LOC16-003525
3736,CONGRESS AVE / SHERATON AVE,Eastbound,2017-06-16T00:00:00Z,2023-09-27T14:42:00Z,30.215157,-97.768776,Loop,Removed,THRU / RIGHT TURN,408,LOC16-002000
3615,ANDERSON MILL RD / POND SPRINGS RD,Southbound,2017-06-19T00:00:00Z,2025-08-27T15:18:00Z,30.450384,-97.785309,Loop,Removed,LEFT TURN,646,LOC16-003175
4652,WELLS BRANCH PKWY / SUMMIT DR,Eastbound,2017-06-16T00:00:00Z,2020-06-28T15:24:00Z,30.441485,-97.692085,Loop,Removed,THRU / RIGHT TURN,589,LOC16-002890
2756,US 290 HWY SVRD / MOPAC EXPY SVRD,Westbound,2017-06-23T00:00:00Z,2023-12-29T13:20:00Z,30.236445,-97.82502,Loop,Ok,THRU / RIGHT TURN,791,LOC16-003890
4756,AIRPORT BLVD / KOENIG LN SVRD,Eastbound,2017-06-15T00:00:00Z,2025-04-18T11:27:00Z,30.31991,-97.712547,Radar - Wavetronix,Removed,THRU / RIGHT TURN,172,LOC16-000855
2797,MOPAC EXPY / LA CROSSE AVE,Eastbound,2017-06-23T00:00:00Z,2023-06-19T19:06:00Z,30.191059,-97.87455,Loop,Removed,LEFT TURN,782,LOC16-003845
4672,NEWFIELD LN / ENFIELD RD,Northbound,2017-06-16T00:00:00Z,2022-11-21T18:45:00Z,30.285645,-97.763298,Loop,Removed,LEFT TURN,212,LOC16-001040
2626,MC NEIL DR / SAN FELIPE BLVD,Eastbound,2017-06-23T00:00:00Z,2025-03-12T15:07:00Z,30.435202,-97.767021,Loop,Ok,THRU / RIGHT TURN,815,LOC16-004010
3064,ED BLUESTEIN BLVD / 51ST ST,Westbound,2017-06-23T00:00:00Z,2020-06-22T19:00:00Z,30.292303,-97.663628,Loop,Removed,THRU / RIGHT TURN,737,LOC16-003635
578,FM 2222 RD / SITIO DEL RIO BLVD,Westbound,,2020-06-29T22:34:00Z,30.392931,-97.841827,Loop,Removed,THRU / RIGHT TURN,928,LOC16-004550
2920,BRODIE LN / DAVIS LN,Southbound,2017-06-23T00:00:00Z,2023-11-12T16:42:00Z,30.195334,-97.842285,Loop,Ok,THRU / RIGHT TURN,761,LOC16-003750
5871,PARMER LN / SPECTRUM DR,Southbound,2017-09-11T00:00:00Z,2025-05-14T22:26:00Z,30.481691,-97.767098,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",776,LOC16-003820
5066,AIRPORT BLVD / WILSHIRE BLVD,Westbound,2017-06-15T00:00:00Z,2025-09-04T19:43:00Z,30.297857,-97.708878,Loop,Ok,LEFT TURN,559,LOC16-002740
4691,BARBARA JORDAN BLVD / LANCASTER DR,Northbound,2017-06-16T00:00:00Z,2023-12-23T00:53:00Z,30.305956,-97.707489,Loop,Ok,LEFT TURN,585,LOC16-002870
4660,MARTIN LUTHER KING JR BLVD / COMAL ST,Westbound,2017-06-16T00:00:00Z,2023-12-23T01:14:00Z,30.279104,-97.725136,Loop,Ok,"SETBACK, THRU / RIGHT TURN",586,LOC16-002875
2955,CROSS PARK DR / EXCHANGE DR,Westbound,2017-06-23T00:00:00Z,2023-12-17T20:00:00Z,30.329987,-97.667282,Loop,Ok,LEFT TURN,755,LOC16-003720
5854,LAKE AUSTIN BLVD / REDBUD TRL,Eastbound,2017-09-11T00:00:00Z,2025-10-14T21:21:00Z,30.291592,-97.783066,Video,Removed,"LEFT TURN, THRU / RIGHT TURN",749,LOC16-003690
807,BURNET RD / WHITE HORSE TRL,Westbound,,2023-12-29T21:56:00Z,30.33848,-97.73925,Loop,Removed,THRU / RIGHT TURN,82,LOC16-000405
3876,ED BLUESTEIN BLVD / LOYOLA LN,Eastbound,2017-06-16T00:00:00Z,2020-06-23T20:39:00Z,30.302672,-97.661309,Loop,Removed,LEFT TURN,628,LOC16-003100
4633,ST JOHNS AVE / 35 SVRD,Southbound,2017-06-16T00:00:00Z,2022-08-04T18:44:00Z,30.332579,-97.703705,Loop,Removed,THRU / LEFT TURN,595,LOC16-002920
629,MENCHACA RD / WILLIAM CANNON DR,Westbound,,2025-10-27T19:00:00Z,30.202913,-97.806908,Loop,Broken,LEFT TURN,194,LOC16-000960
2785,FM 969 RD / JOHNNY MORRIS RD,Westbound,2017-06-23T00:00:00Z,2025-10-13T22:01:00Z,30.282768,-97.653183,Video,Ok,LEFT TURN,785,LOC16-003860
512,BURNET RD / JUSTIN LN,Eastbound,,2025-02-25T19:30:00Z,30.345385,-97.737526,Video,Ok,"BICYCLE, THRU / RIGHT TURN",81,LOC16-000400
5695,MARTIN LUTHER KING JR BLVD / 35 SVRD,Southbound,2017-09-11T00:00:00Z,2024-10-11T13:25:00Z,30.278559,-97.730484,Video,Removed,"THRU / RIGHT TURN, LEFT TURN",35,LOC16-000170
4899,LAMAR BLVD / 10TH ST,Southbound,2017-06-15T00:00:00Z,2023-12-22T13:44:00Z,30.275017,-97.752281,Video,Ok,"LEFT TURN, THRU / RIGHT TURN, THRU ONLY",117,LOC16-000580
4582,LAKE CREEK PKWY / 183 HWY SVRD,Southbound,2017-06-16T00:00:00Z,2025-08-13T19:29:00Z,30.461142,-97.794586,Video,Broken,LEFT TURN,604,LOC16-003015
2868,MOPAC EXPY SVRD / WATERS PARK RD,Eastbound,2017-06-23T00:00:00Z,2022-10-17T19:07:00Z,30.411442,-97.710304,Loop,Removed,THRU / RIGHT TURN,771,LOC16-003795
5866,LAMAR BLVD / LAMAR SQUARE DR,Eastbound,2017-09-11T00:00:00Z,2025-01-06T23:29:00Z,30.254248,-97.762589,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",774,LOC16-003810
4398,LAKELINE MALL DR / PECAN PARK BLVD,Eastbound,2017-06-16T00:00:00Z,2025-09-10T20:26:00Z,30.471979,-97.802078,Loop,Ok,LEFT TURN,608,LOC16-002985
3690,ALLANDALE RD / NORTHLAND DR,Eastbound,2017-06-16T00:00:00Z,2025-06-18T14:56:00Z,30.3346,-97.749168,Video,Ok,THRU / RIGHT TURN,444,LOC16-002180
772,HOWARD LN / HARRIS RIDGE BLVD,Northbound,,2025-04-23T19:54:00Z,30.409546,-97.648628,Loop,Ok,THRU / RIGHT TURN,338,LOC16-001655
4923,BURLESON RD / BEN WHITE BLVD SVRD,Eastbound,2017-06-15T00:00:00Z,2023-12-22T22:30:00Z,30.215605,-97.734871,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",581,LOC16-002850
